"","Hospital.Name","State","County","Year","Bladder","Brain","Breast","Colon","Esophagus","Liver","Lung","Pancreas","Prostate","Rectum","Stomach","Total.Surgeries.for.All.Cancer.Types","National.Cancer.Institute.Designation."
"59","Community and Mission Hospital of Huntington Park – Slauson","CA","Los Angeles",2017,0,0,2,1,0,0,0,0,0,1,0,4,"No"
"60","Community Hospital Long Beach","CA","Los Angeles",2017,0,0,1,2,0,1,0,0,0,1,0,5,"No"
"61","Community Hospital of San Bernardino","CA","San Bernardino",2017,0,0,15,5,0,1,0,0,0,3,1,25,"No"
"62","Community Hospital of The Monterey Peninsula","CA","Monterey",2017,1,19,55,47,2,3,13,4,6,24,5,179,"No"
"63","Community Memorial Hospital – San Buenaventura","CA","Ventura",2017,4,9,160,41,0,1,18,2,69,17,1,322,"No"
"64","Community Regional Medical Center – Fresno","CA","Fresno",2017,0,71,70,49,3,8,46,6,29,22,7,311,"No"
"65","Conemaugh Memorial","PA","Cambria",2018,17,11,81,41,0,2,22,1,26,15,1,217,"No"
"66","Conemaugh Nason MC","PA","Blair",2018,0,0,10,6,0,0,0,0,0,0,0,16,"No"
"67","Contra Costa Regional Medical Center","CA","Contra Costa",2017,0,0,46,21,0,2,0,1,1,4,3,78,"No"
"68","Coordinated Health Ortho","PA","Northampton",2018,1,0,1,0,0,0,0,0,5,0,0,7,"No"
"69","Corona Regional Medical Center – Main","CA","Riverside",2017,0,0,67,20,0,2,0,0,0,7,1,97,"No"
"70","Crozer-Chester","PA","Delaware",2018,4,8,107,29,0,2,6,5,20,9,0,190,"No"
"71","Dameron Hospital","CA","San Joaquin",2017,0,0,1,7,0,1,0,2,0,5,0,16,"No"
"72","Delano Regional Medical Center","CA","Kern",2017,0,0,10,5,0,0,0,0,1,0,0,16,"No"
"73","Delaware County Memorial","PA","Delaware",2018,1,0,58,6,0,0,4,0,0,4,1,74,"No"
"74","Desert Regional Medical Center","CA","Riverside",2017,0,30,178,35,3,3,21,0,11,17,2,300,"No"
"75","Desert Valley Hospital","CA","San Bernardino",2017,4,0,4,3,0,0,3,0,40,3,0,57,"No"
"76","Doctors Hospital of Manteca","CA","San Joaquin",2017,0,0,34,9,0,0,0,0,0,0,0,43,"No"
"77","Doctors Medical Center","CA","Stanislaus",2017,2,14,163,42,0,4,14,6,35,22,4,306,"No"
"78","Doctors Medical Center – San Pablo","CA","Contra Costa",2015,0,0,1,0,0,0,0,0,0,1,0,2,"No"
"79","Dominican Hospital","CA","Santa Cruz",2017,6,16,41,19,0,2,17,0,21,6,1,129,"No"
"80","Doylestown","PA","Bucks",2018,33,0,89,25,0,0,9,0,32,7,3,198,"No"
"81","East Los Angeles Doctors Hospital","CA","Los Angeles",2017,0,0,0,2,0,0,0,0,0,4,0,6,"No"
"82","Eastern Regional","PA","Philadelphia",2018,4,0,94,6,2,3,27,1,18,10,2,167,"No"
"83","Easton","PA","Northampton",2018,4,0,31,17,1,0,5,1,0,4,3,66,"No"
"84","Eden Medical Center","CA","Alameda",2017,3,36,67,22,0,2,3,1,2,10,2,148,"No"
"85","Einstein MC Montgomery","PA","Montgomery",2018,5,0,89,17,0,0,10,0,18,0,0,139,"No"
"86","Eisenhower Medical Center","CA","Riverside",2017,5,12,161,84,0,3,45,1,74,32,5,422,"No"
"87","El Camino Hospital","CA","Santa Clara",2017,6,9,131,66,0,7,37,7,101,13,5,382,"No"
"88","El Centro Regional Medical Center","CA","Imperial",2017,0,0,14,6,0,0,0,0,6,3,1,30,"No"
"89","Ellwood City","PA","Lawrence",2018,0,0,3,0,0,0,0,0,0,0,0,3,"No"
"90","Emanuel Medical Center","CA","Stanislaus",2017,0,0,46,26,0,3,0,1,1,17,1,95,"No"
"91","Encino Hospital Medical Center","CA","Los Angeles",2017,0,0,1,0,0,0,0,0,0,0,1,2,"No"
"92","Enloe Medical Center – Esplanade","CA","Butte",2017,1,10,170,45,0,1,7,0,13,24,3,274,"No"
"93","Ephrata Community","PA","Lancaster",2018,3,0,54,15,0,0,11,0,1,0,0,84,"No"
"94","Evangelical Community","PA","Union",2018,0,0,76,14,0,0,0,0,0,1,0,91,"No"
"95","Excela Health Latrobe","PA","Westmoreland",2018,3,0,76,27,0,0,2,0,18,1,1,128,"No"
"96","Excela Hlth Westmoreland","PA","Westmoreland",2018,1,2,65,21,5,0,50,0,11,3,0,158,"No"
"97","Fairchild Medical Center","CA","Siskiyou",2017,0,0,13,5,0,0,0,0,0,0,0,18,"No"
"98","Fallbrook Hospital District","CA","San Diego",2014,0,0,10,1,0,0,0,0,0,0,0,11,"No"
"99","Feather River Hospital","CA","Butte",2017,1,0,63,13,0,1,7,1,0,5,0,91,"No"
"100","Foothill Presbyterian Hospital – Johnston Memorial","CA","Los Angeles",2017,1,3,28,20,0,3,1,0,39,6,0,101,"No"
"101","Foothill Regional Medical Center","CA","Orange",2017,0,0,0,6,0,0,0,0,0,2,0,8,"No"
"102","Forbes","PA","Allegheny",2018,18,6,112,54,2,0,31,0,8,7,0,238,"No"
"103","Fountain Valley Regional Hospital and Medical Center – Euclid","CA","Orange",2017,0,6,84,47,2,19,31,13,1,28,11,242,"No"
"104","Frank R. Howard Memorial Hospital","CA","Mendocino",2015,0,0,0,5,0,0,0,0,0,0,0,5,"No"
"105","French Hospital Medical Center","CA","San Luis Obispo",2017,0,0,10,10,1,0,3,0,7,1,0,32,"No"
"106","Fresno Heart and Surgical Hospital","CA","Fresno",2015,0,0,0,16,0,0,23,1,0,5,1,46,"No"
"107","Fresno Surgical Hospital","CA","Fresno",2017,0,0,75,0,0,0,0,0,4,0,0,79,"No"
"108","Frick","PA","Westmoreland",2018,1,0,8,4,0,0,0,0,1,0,0,14,"No"
"109","Garden Grove Hospital and Medical Center","CA","Orange",2017,0,0,4,6,0,0,0,0,1,3,1,15,"No"
"110","Gardens Regional Hospital and Medical Center","CA","Los Angeles",2016,0,0,1,3,0,0,0,0,0,4,0,8,"No"
"111","Garfield Medical Center","CA","Los Angeles",2017,0,16,102,35,3,1,33,5,30,15,15,255,"No"
"112","Geisinger Bloomsburg","PA","Columbia",2018,0,0,24,4,0,0,0,0,0,0,0,28,"No"
"113","Geisinger Community","PA","Lackawanna",2018,2,12,102,28,0,0,30,0,2,19,0,195,"No"
"114","Geisinger Danville","PA","Montour",2018,23,43,166,80,12,5,47,24,42,46,4,492,"No"
"115","Geisinger Jersey Shore","PA","Lycoming",2018,0,0,0,3,0,0,0,0,0,0,0,3,"No"
"116","Geisinger Lewistown","PA","Mifflin",2018,0,0,34,14,0,0,0,0,0,0,0,48,"No"
"117","Geisinger Wyoming Valley","PA","Luzerne",2018,6,29,99,41,13,13,27,8,32,9,6,283,"No"
"118","George L. Mee Memorial Hospital","CA","Monterey",2013,0,0,0,1,0,0,0,0,0,0,0,1,"No"
"119","Glendale Adventist Medical Center","CA","Los Angeles",2017,1,23,119,42,1,9,8,4,17,16,5,245,"No"
"120","Glendale Memorial Hospital and Medical Center","CA","Los Angeles",2017,1,3,35,28,0,0,21,0,4,18,1,111,"No"
"121","Glendora Community Hospital","CA","Los Angeles",2017,0,0,1,1,0,0,0,0,0,0,1,3,"No"
"122","Goleta Valley Cottage Hospital","CA","Santa Barbara",2017,0,0,12,0,0,0,0,0,0,0,0,12,"No"
"123","Good Samaritan Hospital – Bakersfield","CA","Kern",2017,0,0,1,0,0,0,0,0,3,0,0,4,"No"
"124","Good Samaritan Hospital – Los Angeles","CA","Los Angeles",2017,0,7,26,16,0,8,6,6,2,5,11,87,"No"
"125","Good Samaritan Hospital – San Jose","CA","Santa Clara",2017,0,17,179,61,0,5,25,9,30,16,3,345,"No"
"126","Grand View","PA","Bucks",2018,0,0,103,19,3,1,15,1,0,1,0,143,"No"
"127","Greater El Monte Community Hospital","CA","Los Angeles",2017,0,0,2,1,0,0,0,0,1,0,0,4,"No"
"128","Grossmont Hospital","CA","San Diego",2017,2,19,105,53,3,2,16,13,9,10,2,234,"No"
"129","Grove City","PA","Mercer",2018,0,0,0,7,0,0,0,0,0,0,0,7,"No"
"130","Hahnemann University","PA","Philadelphia",2018,5,7,55,21,5,12,8,5,17,3,4,142,"No"
"131","Hazel Hawkins Memorial Hospital","CA","San Benito",2017,0,0,13,1,0,0,0,0,1,0,0,15,"No"
"132","Healdsburg District Hospital","CA","Sonoma",2015,0,0,0,2,0,0,0,0,0,0,0,2,"No"
"133","Hemet Valley Medical Center","CA","Riverside",2017,1,0,26,16,0,3,0,2,14,7,0,69,"No"
"134","Henry Mayo Newhall Hospital","CA","Los Angeles",2017,1,13,26,13,1,1,8,0,11,4,2,80,"No"
"135","Heritage Valley Beaver","PA","Beaver",2018,5,0,96,32,0,0,5,0,4,8,2,152,"No"
"136","Heritage Valley Sewickley","PA","Allegheny",2018,6,0,40,17,1,0,1,0,5,1,0,71,"No"
"137","Hi-Desert Medical Center","CA","San Bernardino",2017,0,0,0,1,0,0,0,0,0,0,0,1,"No"
"138","Highland Hospital","CA","Alameda",2017,1,0,38,12,2,0,7,2,20,8,2,92,"No"
"139","Highlands","PA","Fayette",2018,0,0,0,2,0,0,0,0,0,0,0,2,"No"
"140","Hoag Memorial Hospital Presbyterian","CA","Orange",2017,11,91,625,111,13,24,91,28,186,46,8,1234,"No"
"141","Hollywood Presbyterian Medical Center","CA","Los Angeles",2017,0,2,45,34,0,2,2,1,2,6,15,109,"No"
"142","Holy Redeemer","PA","Montgomery",2018,3,0,188,22,0,0,4,0,1,2,0,220,"No"
"143","Holy Spirit","PA","Cumberland",2018,4,5,162,19,1,0,6,0,17,0,2,216,"No"
"144","Hospital Fox Chase Cancer","PA","Philadelphia",2018,128,0,511,55,23,65,144,17,258,31,11,1243,"Yes"
"145","Hospital University PA","PA","Philadelphia",2018,65,246,601,117,43,100,233,69,215,61,47,1797,"Yes"
"146","Huntington Beach Hospital","CA","Orange",2017,0,0,0,2,0,0,0,0,0,0,0,2,"No"
"147","Huntington Memorial Hospital","CA","Los Angeles",2017,21,23,124,81,6,24,39,17,167,35,18,555,"No"
"148","Indiana Regional","PA","Indiana",2018,4,0,45,17,0,0,0,0,0,4,0,70,"No"
"149","JC Blair Memorial","PA","Huntingdon",2018,0,0,9,10,0,0,0,0,0,0,0,19,"No"
"150","Jeanes","PA","Philadelphia",2018,2,25,9,16,0,0,0,0,0,3,0,55,"No"
"151","Jefferson","PA","Allegheny",2018,10,0,109,54,0,0,20,0,17,7,4,221,"No"
"152","Jefferson Health NE","PA","Philadelphia",2018,14,6,153,48,0,2,7,0,30,15,1,276,"No"
"153","Jennersville","PA","Chester",2018,0,0,15,8,0,0,0,0,0,0,1,24,"No"
"154","John F. Kennedy Memorial Hospital","CA","Riverside",2017,0,0,21,7,0,0,0,0,0,1,0,29,"No"
"155","John Muir Medical Center – Concord Campus","CA","Contra Costa",2017,4,0,33,43,12,0,26,0,64,33,3,218,"No"
"156","John Muir Medical Center – Walnut Creek Campus","CA","Contra Costa",2017,3,33,105,37,0,6,24,0,4,6,4,222,"No"
"157","Kaiser Foundation Hospital – Antioch","CA","Contra Costa",2017,4,0,110,21,0,4,0,2,6,7,1,155,"No"
"158","Kaiser Foundation Hospital – Baldwin Park","CA","Los Angeles",2017,6,0,319,48,0,1,0,2,2,21,5,404,"No"
"159","Kaiser Foundation Hospital – Downey","CA","Los Angeles",2017,2,0,335,45,5,0,23,20,289,12,9,740,"No"
"160","Kaiser Foundation Hospital – Fontana","CA","San Bernardino",2017,13,39,506,94,12,4,44,2,174,50,8,946,"No"
"161","Kaiser Foundation Hospital – Fremont","CA","Alameda",2017,0,0,86,38,0,0,0,1,0,8,0,133,"No"
"162","Kaiser Foundation Hospital – Fresno","CA","Fresno",2017,0,5,132,24,0,0,0,0,1,1,3,166,"No"
"163","Kaiser Foundation Hospital – Hayward","CA","Alameda",2014,4,0,101,26,0,4,7,1,2,6,5,156,"No"
"164","Kaiser Foundation Hospital – Manteca","CA","San Joaquin",2017,6,0,229,66,7,1,36,2,4,26,2,379,"No"
"165","Kaiser Foundation Hospital – Moreno Valley","CA","Riverside",2017,0,0,43,16,0,0,0,0,0,3,1,63,"No"
"166","Kaiser Foundation Hospital – Oakland Campus","CA","Alameda",2014,13,0,159,35,10,10,20,11,15,13,10,296,"No"
"167","Kaiser Foundation Hospital – Oakland/Richmond","CA","Alameda",2017,22,0,290,67,28,51,97,43,34,28,6,666,"No"
"168","Kaiser Foundation Hospital – Orange County – Anaheim","CA","Orange",2017,17,22,535,90,6,10,36,11,3,37,3,770,"No"
"169","Kaiser Foundation Hospital – Panorama City","CA","Los Angeles",2017,0,0,210,46,3,7,58,6,1,6,3,340,"No"
"170","Kaiser Foundation Hospital – Redwood City","CA","San Mateo",2017,3,140,93,27,0,0,0,0,0,0,0,263,"No"
"171","Kaiser Foundation Hospital – Rehabilitation Center Vallejo","CA","Solano",2017,3,0,272,41,3,0,18,0,1,20,0,358,"No"
"172","Kaiser Foundation Hospital – Riverside","CA","Riverside",2017,5,0,244,64,7,7,21,9,2,26,4,389,"No"
"173","Kaiser Foundation Hospital – Roseville","CA","Placer",2017,7,0,456,69,0,1,0,1,2,29,0,565,"No"
"174","Kaiser Foundation Hospital – Sacramento","CA","Sacramento",2017,1,72,249,57,0,29,0,26,0,17,17,468,"No"
"175","Kaiser Foundation Hospital – San Diego","CA","San Diego",2017,7,29,501,88,6,15,68,9,44,33,5,805,"No"
"176","Kaiser Foundation Hospital – San Francisco","CA","San Francisco",2017,6,0,198,40,0,27,0,26,59,47,0,403,"No"
"177","Kaiser Foundation Hospital – San Jose","CA","Santa Clara",2017,4,0,185,60,0,12,0,10,1,12,0,284,"No"
"178","Kaiser Foundation Hospital – San Leandro","CA","Alameda",2017,0,0,107,27,0,1,0,0,0,7,0,142,"No"
"179","Kaiser Foundation Hospital – San Rafael","CA","Marin",2017,2,0,143,30,0,0,0,0,7,1,0,183,"No"
"180","Kaiser Foundation Hospital – Santa Clara","CA","Santa Clara",2017,11,0,359,67,8,3,50,1,110,21,1,631,"No"
"181","Kaiser Foundation Hospital – Santa Rosa","CA","Sonoma",2017,5,0,146,30,0,1,0,0,2,3,1,188,"No"
"182","Kaiser Foundation Hospital – South Bay","CA","Los Angeles",2017,2,0,295,48,2,4,0,8,2,18,8,387,"No"
"183","Kaiser Foundation Hospital – South Sacramento","CA","Sacramento",2017,41,0,247,52,9,1,77,0,235,24,2,688,"No"
"184","Kaiser Foundation Hospital – South San Francisco","CA","San Mateo",2017,2,0,144,33,2,0,0,0,0,13,36,230,"No"
"185","Kaiser Foundation Hospital – Sunset","CA","Los Angeles",2017,29,73,278,57,8,89,46,19,77,43,21,740,"No"
"186","Kaiser Foundation Hospital – Vacaville","CA","Solano",2017,4,17,0,17,0,1,0,0,1,0,0,40,"No"
"187","Kaiser Foundation Hospital – Walnut Creek","CA","Contra Costa",2017,9,0,317,69,0,3,0,0,9,29,0,436,"No"
"188","Kaiser Foundation Hospital – West Los Angeles","CA","Los Angeles",2017,7,0,265,39,3,9,34,12,236,29,4,638,"No"
"189","Kaiser Foundation Hospital – Woodland Hills","CA","Los Angeles",2017,3,0,300,40,0,3,0,0,8,21,3,378,"No"
"190","Kaweah Delta Medical Center","CA","Tulare",2017,0,0,124,37,0,2,3,2,23,16,8,215,"No"
"191","Keck Hospital of University of Southern California","CA","Los Angeles",2017,162,67,105,57,26,95,29,48,341,75,11,1016,"No"
"192","Kern Medical Center","CA","Kern",2017,1,5,43,5,2,4,2,1,12,5,1,81,"No"
"193","La Palma Intercommunity Hospital","CA","Orange",2017,0,0,1,7,0,0,0,0,0,0,1,9,"No"
"194","Lakewood Regional Medical Center","CA","Los Angeles",2017,0,4,20,19,2,1,7,2,5,9,8,77,"No"
"195","Lancaster General","PA","Lancaster",2018,40,18,411,103,1,0,42,0,111,34,2,762,"No"
"196","Lankenau MC","PA","Montgomery",2018,4,13,253,65,8,15,33,9,13,48,12,473,"No"
"197","Lansdale","PA","Montgomery",2018,1,0,67,11,0,0,0,0,0,0,0,79,"No"
"198","Lehigh Valley Allentown","PA","Lehigh",2018,27,43,203,118,12,32,56,34,58,29,13,625,"No"
"199","Lehigh Valley Hazleton","PA","Luzerne",2018,1,0,16,15,1,0,1,1,0,3,0,38,"No"
"200","Lehigh Valley Pocono","PA","Monroe",2018,0,0,2,24,0,0,18,0,5,1,3,53,"No"
"201","Lehigh Valley Schuylkill","PA","Schuylkill",2018,0,0,5,2,0,0,0,0,1,0,0,8,"No"
"202","Lock Haven","PA","Clinton",2018,0,0,0,0,0,0,0,0,2,0,0,2,"No"
"203","Lodi Memorial Hospital","CA","San Joaquin",2017,2,0,18,14,0,0,0,0,27,3,0,64,"No"
"204","Loma Linda University Medical Center","CA","San Bernardino",2017,24,70,187,51,6,42,31,19,119,42,10,601,"No"
"205","Loma Linda University Medical Center – Murrieta","CA","Riverside",2017,0,8,78,36,0,0,3,0,5,5,1,136,"No"
"206","Lompoc Valley Medical Center","CA","Santa Barbara",2017,0,0,11,11,0,1,0,0,0,3,0,26,"No"
"207","Long Beach Memorial Medical Center","CA","Los Angeles",2017,0,31,227,65,2,7,41,0,19,44,7,443,"No"
"208","Los Alamitos Medical Center","CA","Orange",2017,1,10,162,24,0,2,5,0,52,5,1,262,"No"
"209","Los Angeles Community Hospital","CA","Los Angeles",2017,0,0,1,4,0,0,0,0,6,4,0,15,"No"
"210","Los Angeles County/Harbor – UCLA Medical Center","CA","Los Angeles",2017,0,14,107,37,0,6,3,4,13,18,8,210,"No"
"211","Los Angeles County/Olive View – UCLA Medical Center","CA","Los Angeles",2017,4,0,96,15,3,4,4,1,5,17,7,156,"Yes"
"212","Los Angeles County/Rancho Los Amigos National Rehabilitation Center","CA","Los Angeles",2016,0,1,0,0,0,0,0,0,0,0,0,1,"No"
"213","Los Angeles County/University of Southern California Medical Center","CA","Los Angeles",2017,5,39,119,40,2,9,9,12,29,27,13,304,"No"
"214","Los Robles Hospital and Medical Center","CA","Ventura",2017,2,17,140,40,0,8,19,6,48,16,1,297,"No"
"215","Lower Bucks","PA","Bucks",2018,1,0,2,1,0,0,0,0,0,0,0,4,"No"
"216","Mad River Community Hospital","CA","Humboldt",2017,0,0,3,1,1,0,0,0,0,1,0,6,"No"
"217","Madera Community Hospital","CA","Madera",2017,0,0,14,15,0,4,0,0,0,3,1,37,"No"
"218","Magee Womens UPMC","PA","Allegheny",2018,1,0,819,4,0,0,0,0,0,1,3,828,"Yes"
"219","Mammoth Hospital","CA","Mono",2015,0,0,0,0,0,0,0,0,3,0,0,3,"No"
"220","Marian Regional Medical Center","CA","Santa Barbara",2017,0,7,190,24,0,0,3,0,40,3,3,270,"No"
"221","Marian Regional Medical Center – Arroyo Grande","CA","San Luis Obispo",2017,0,0,6,9,1,0,2,3,0,3,1,25,"No"
"222","Marin General Hospital","CA","Marin",2017,5,13,142,9,0,0,5,1,26,1,1,203,"No"
"223","Marina Del Rey Hospital","CA","Los Angeles",2017,0,0,21,5,0,0,1,0,0,2,0,29,"No"
"224","Mark Twain Medical Center","CA","Calaveras",2017,0,0,4,2,0,0,0,0,0,0,0,6,"No"
"225","Marshall Medical Center","CA","El Dorado",2017,1,0,55,7,0,1,5,1,13,5,0,88,"No"
"226","Meadville","PA","Crawford",2018,1,0,18,3,0,0,0,0,0,1,0,23,"No"
"227","Memorial Hospital Los Banos","CA","Merced",2017,0,0,1,4,0,0,0,0,0,0,0,5,"No"
"228","Memorial Hospital Medical Center – Modesto","CA","Stanislaus",2017,1,13,150,42,1,2,9,6,4,17,2,247,"No"
"229","Memorial Hospital of Gardena","CA","Los Angeles",2017,1,0,9,8,0,0,0,0,0,0,0,18,"No"
"230","Mendocino Coast District Hospital","CA","Mendocino",2017,0,0,7,5,0,0,0,0,0,0,0,12,"No"
"231","Menifee Valley Medical Center","CA","Riverside",2017,0,0,27,6,0,1,0,0,0,1,3,38,"No"
"232","Menlo Park Surgical Hospital","CA","San Mateo",2017,0,0,122,0,0,0,0,0,0,0,0,122,"No"
"233","Mercy Fitzgerald","PA","Delaware",2018,1,1,12,20,1,0,9,1,1,1,1,48,"No"
"234","Mercy General Hospital","CA","Sacramento",2017,0,10,71,51,0,1,0,1,2,30,4,170,"No"
"235","Mercy Hospital – Bakersfield","CA","Kern",2017,1,6,63,18,0,1,0,1,12,6,1,109,"No"
"236","Mercy Hospital – Folsom","CA","Sacramento",2014,2,0,40,14,0,0,0,0,51,2,0,109,"No"
"237","Mercy Hospital of Folsom","CA","Sacramento",2017,5,0,45,11,0,0,0,0,27,4,0,92,"No"
"238","Mercy Medical Center – Merced","CA","Merced",2017,0,0,27,23,0,1,0,0,1,8,1,61,"No"
"239","Mercy Medical Center – Redding","CA","Shasta",2017,0,26,27,27,0,2,22,2,26,5,0,137,"No"
"240","Mercy Medical Center Mt. Shasta","CA","Siskiyou",2017,0,0,3,4,0,0,0,0,0,0,0,7,"No"
"241","Mercy Philadelphia","PA","Philadelphia",2018,2,0,18,10,1,0,4,0,1,0,3,39,"No"
"242","Mercy San Juan Hospital","CA","Sacramento",2017,0,30,108,41,6,2,50,1,53,33,0,324,"No"
"243","Methodist Division/TJUH","PA","Philadelphia",2018,1,0,21,18,0,0,0,0,6,8,2,56,"No"
